treatment,replicate,time to death (days),experiment
15,41,16,standard
15,42,20,standard
15,43,22,standard
15,44,22,standard
15,45,35,standard
15,46,36,standard
15,47,47,standard
15,48,47,standard
15,49,47,standard
15,50,50,standard
18,1,23,standard
18,2,31,standard
18,3,39,standard
18,4,39,standard
18,5,39,standard
18,6,42,standard
18,7,44,standard
18,8,47,standard
18,9,50,standard
18,10,55,standard
18,11,27,standard
18,12,30,standard
18,13,37,standard
18,14,37,standard
18,15,37,standard
18,16,41,standard
18,17,42,standard
18,18,44,standard
18,19,53,standard
18,20,58,standard
18,21,28,standard
18,22,29,standard
18,23,47,standard
18,24,50,standard
18,25,51,standard
18,26,54,standard
18,27,55,standard
18,28,69,standard
18,29,69,standard
18,30,76,standard
18,31,10,standard
18,32,17,standard
18,33,27,standard
18,34,39,standard
18,35,46,standard
18,36,47,standard
18,37,47,standard
18,38,50,standard
18,39,50,standard
18,40,51,standard
18,41,17,standard
18,42,22,standard
18,43,33,standard
18,44,41,standard
18,45,46,standard
18,46,49,standard
18,47,50,standard
18,48,65,standard
18,49,68,standard
18,50,72,standard
21,1,23,standard
21,2,29,standard
21,3,29,standard
21,4,34,standard
21,5,35,standard
21,6,37,standard
21,7,40,standard
21,8,42,standard
21,9,44,standard
21,10,49,standard
21,11,26,standard
21,12,33,standard
21,13,38,standard
21,14,40,standard
21,15,42,standard
21,16,42,standard
21,17,43,standard
21,18,45,standard
21,19,46,standard
21,20,46,standard
21,21,48,standard
21,22,40,standard
21,23,42,standard
21,24,43,standard
21,25,45,standard
21,26,49,standard
21,27,50,standard
21,28,52,standard
21,29,55,standard
21,30,55,standard
21,31,57,standard
21,32,22,standard
21,33,22,standard
21,34,23,standard
21,35,32,standard
21,36,41,standard
21,37,41,standard
21,38,41,standard
21,39,44,standard
21,40,47,standard
21,41,50,standard
21,42,23,standard
21,43,24,standard
21,44,32,standard
21,45,35,standard
21,46,35,standard
21,47,37,standard
21,48,38,standard
21,49,40,standard
21,50,40,standard
21,51,56,standard
28,1,34,standard
28,2,34,standard
28,3,37,standard
28,4,38,standard
28,5,38,standard
28,6,40,standard
28,7,42,standard
28,8,45,standard
28,9,49,standard
28,10,60,standard
28,11,15,standard
28,12,30,standard
