sample_id,ER,FP,AC,HB,CC,RI,DP,BH,CA,PC,DL,CG,BF,EL,CH,BO,BT,BU,BV,BC,BY,PJ,DF,BL,BP,BA
butyrate_exp10_PJ_rep0_0479,0.000119645848289064,0,0.000119645848289064,0,0.000119645848289064,0,0,0.000119645848289064,0,0,0,0,0.000119645848289064,0,0,0,0,0.000358937544867193,0,0,0,0.998923187365398,0,0,0,0.000119645848289064
butyrate_exp10_CC_rep0_0480,0,0,0,0,0.998906995230525,0,0,0,9.93640699523052e-05,0,0,0,0.000198728139904611,0,0,0,9.93640699523052e-05,0.000397456279809221,0,0,0,0,0,0,0,0.000198728139904611
butyrate_exp10_CH_rep0_0481,6.53253200940684e-05,0,6.53253200940684e-05,0,0.000130650640188137,0,0,0,6.53253200940684e-05,6.53253200940684e-05,0,6.53253200940684e-05,0,0,0.994839299712569,0,0,0.000261301280376274,0,0.000130650640188137,0,0,0,0,0,0
butyrate_exp10_DL_rep0_0482,0,0.00032499187520312,0,0,0.00032499187520312,0,0,0,0,0.00032499187520312,0.995450113747156,0,0,0,0,0,0.00032499187520312,0.00032499187520312,0.00032499187520312,0.00064998375040624,0,0,0,0.00032499187520312,0.00032499187520312,0.00032499187520312
butyrate_exp10_BF_rep0_0483,0,0,0.000175423208490483,0,0,8.77116042452416e-05,0,0,0,0,8.77116042452416e-05,0,0.998772037540567,0,8.77116042452416e-05,0.000175423208490483,0.000263134812735725,0.000263134812735725,8.77116042452416e-05,0,0,0,0,0,0,0
butyrate_exp10_BO_rep0_0484,0.000100857286938981,0,0.000100857286938981,0,0.000201714573877963,0,0,0,0,0,0,0.000100857286938981,0,0,0,0.998587997982854,0.000100857286938981,0.000201714573877963,0.000302571860816944,0.000201714573877963,0,0,0,0,0.000100857286938981,0
butyrate_exp10_BT_rep0_0485,8.310479514668e-05,8.310479514668e-05,0,0,0,0,0,0,0,8.310479514668e-05,0,0,0.00024931438544004,0,8.310479514668e-05,8.310479514668e-05,0.998670323277653,0.0004155239757334,8.310479514668e-05,0,0,0,8.310479514668e-05,0,0,0
butyrate_exp10_BU_rep0_0486,0,0,8.95014767743668e-05,0,0.000179002953548734,8.95014767743668e-05,0,0,0,8.95014767743668e-05,0,8.95014767743668e-05,0,0,0,0,0,0.998925982278708,0.000179002953548734,0,0,0,8.95014767743668e-05,0,0,8.95014767743668e-05
butyrate_exp10_BV_rep0_0487,9.15164271986822e-05,0,9.15164271986822e-05,0,0.000366065708794729,0,0,0,0,0,0,0,9.15164271986822e-05,0,0,0,0.000274549281596046,0.000274549281596046,0.998261187883225,0,0,0,9.15164271986822e-05,0,0,9.15164271986822e-05
butyrate_exp10_BC_rep0_0488,0,0,0.000340193910529002,0,0,0,0,0,0,8.50484776322504e-05,0,8.50484776322504e-05,0,0,0,0,0,0.000340193910529002,0,0.998554175880252,8.50484776322504e-05,0,8.50484776322504e-05,0,0.000170096955264501,0.000170096955264501
butyrate_exp10_BY_rep0_0489,0.000862068965517241,0,0.000574712643678161,0,0.000862068965517241,0,0,0,0,0,0.000574712643678161,0,0,0,0,0,0,0.000862068965517241,0.00028735632183908,0.00028735632183908,0.995114942528736,0,0,0,0.00028735632183908,0.00028735632183908
butyrate_exp10_DF_rep0_0490,0.000102891243955139,0.000102891243955139,0,0,0.000102891243955139,0,0,0,0,0,0,0.000411564975820558,0,0,0,0,0,0.000617347463730836,0,0,0.0067908221010392,0,0.991768700483589,0,0,0
butyrate_exp10_BP_rep0_0491,0,0,0,0,0.00012227928588897,0,0,0,0,0,0,0,0.000244558571777941,0,0,0.0099046221570066,0,0.000366837857666911,0,0,0,0,0,0,0.988994864269993,0.000244558571777941
butyrate_exp10_BA_rep0_0492,7.87153652392947e-05,0,0,0,7.87153652392947e-05,0,0,0,0,0,0,0,0,0,7.87153652392947e-05,0,7.87153652392947e-05,0.000314861460957179,0,0,0,0,0,0,0,0.999291561712846
butyrate_exp10_ER_FP_rep1_0493,0.496595551520654,0.491602360417612,0.000453926463912846,0,0.000453926463912846,0.000453926463912846,0.00136177939173854,0,0,0.00136177939173854,0.000907852927825692,0.000453926463912846,0,0,0,0.000907852927825692,0.00136177939173854,0.000907852927825692,0.00136177939173854,0,0.000453926463912846,0,0,0,0.000453926463912846,0
butyrate_exp10_AC_ER_rep1_0494,0.0627186406796602,0,0.936448442445444,0,0,0,0.000416458437447943,0,0,0,0,0,0,0,0,8.32916874895885e-05,0,8.32916874895885e-05,0,0,8.32916874895885e-05,0,0,0,0,0
