sample_id,AM,BA,BOB,BOV,BT,EC,FP,LB,LJ
pair_['BA' 'EC']_2,0.0,0.7051031894934331,0.0,0.0,0.0,0.58285896346644,0.0,0.0,0.0
pair_['BA' 'EC']_3,0.0,0.6771482176360221,0.0,0.0,0.0,0.5368627867459639,0.0,0.0,0.0
pair_['BA' 'EC']_4,0.0,0.6999624765478422,0.0,0.0,0.0,0.5714634664401016,0.0,0.0,0.0
pair_['BA' 'BT']_1,0.0,1.0634709193245775,0.0,0.0,1.2963945296311645,0.0,0.0,0.0,0.0
pair_['BA' 'BT']_2,0.0,1.1778236397748592,0.0,0.0,1.347503108164111,0.0,0.0,0.0,0.0
pair_['BA' 'BT']_3,0.0,1.0852720450281421,0.0,0.0,1.3069312059676748,0.0,0.0,0.0,0.0
pair_['BA' 'BT']_4,0.0,1.1563789868667915,0.0,0.0,1.3370803978450059,0.0,0.0,0.0,0.0
pair_['BA' 'BOV']_1,0.0,2.0380863039399624,0.0,0.4777384423157019,0.0,0.0,0.0,0.0,0.0
pair_['BA' 'BOV']_2,0.0,2.0669606003752343,0.0,0.5665972511453563,0.0,0.0,0.0,0.0,0.0
pair_['BA' 'BOV']_3,0.0,2.039305816135084,0.0,0.49660558100791385,0.0,0.0,0.0,0.0,0.0
