sample_id,KB1,YL2,YL27,YL31,YL32,YL44,YL45,I46,I48,I49,YL58
OMM11-YL44_E3_AF_W1,4.13e+08,0,9430000,53500000,12600000,0,0,1.18e+08,3.31e+08,0,1.66e+09
OMM11-YL44_E3_AF_W2,3.35e+08,0,12600000,64500000,12100000,0,0,1.49e+08,3.9e+08,0,1.33e+09
OMM11-YL44_E3_AF_W3,2.16e+08,0,16400000,83500000,10600000,0,0,72300000,4.03e+08,0,8.22e+08
OMM11-YL45_E3_AF_W1,3.1e+08,0,14400000,96500000,13800000,222000,0,1.38e+08,5.17e+08,0,1.7e+09
OMM11-YL45_E3_AF_W2,2.05e+08,0,10400000,7.2e+07,13500000,163000,0,1.22e+08,3.53e+08,0,5e+08
OMM11-YL45_E3_AF_W3,6.1e+08,0,12900000,3.4e+07,11400000,157000,0,1.18e+08,2.93e+08,0,4.8e+08
OMM11-I46_E3_AF_W1,0,0,5100000,8.25e+08,22400000,247000,325000,0,6.3e+08,0,1.33e+09
OMM11-I46_E3_AF_W2,7.5e+08,0,2680000,5.2e+08,11100000,93700,8820000,0,3.6e+08,0,8.92e+08
OMM11-I46_E3_AF_W3,5.5e+08,69700,12500000,3.22e+08,13900000,154000,6400000,0,3.05e+08,0,5.08e+08
OMM11-I48_E3_AF_W1,6.05e+08,0,1.1e+07,6.3e+08,15300000,190000,0,1.76e+08,0,0,1.74e+09
OMM11-I48_E3_AF_W3,8.15e+08,0,27500000,6.8e+07,18600000,350000,0,1.74e+08,0,0,1.22e+09
OMM11-I49_E3_AF_W1,5.98e+08,0,2500000,5.25e+08,14200000,135000,0,1.39e+08,3.37e+08,0,7.86e+08
OMM11-I49_E3_AF_W2,2.04e+08,0,4980000,1.31e+08,17800000,174000,0,1.2e+08,4.87e+08,0,1.01e+09
OMM11-I49_E3_AF_W3,6.6e+08,0,8950000,1.99e+08,15600000,127000,0,1.11e+08,3.57e+08,0,1.13e+09
OMM11-YL58_E3_AF_W1,3.28e+08,0,0,1.71e+08,43200000,264000,28500000,1.01e+08,3.67e+08,0,0
OMM11-YL58_E3_AF_W2,5.33e+08,0,0,3.38e+08,32400000,178000,340000,1.23e+08,4e+08,0,0
OMM11-YL58_E3_AF_W3,7.5e+08,0,0,1.64e+08,45800000,4e+05,1.03e+08,1.36e+08,4.77e+08,144000,0
OMM12_E3_AF_W1,3.13e+08,0,4280000,2.8e+08,19800000,268000,0,1.43e+08,5.83e+08,0,2.62e+08
OMM12_E3_AF_W2,2.63e+08,0,8050000,1.35e+08,21600000,337000,0,1.93e+08,5.13e+08,0,3.7e+08
OMM12_E3_AF_W3,2.37e+08,0,5430000,2.17e+08,18700000,373000,0,1.55e+08,6.1e+08,0,2.62e+08
OMM11-KB1_E1_AF_W1,0,1.5e+08,59300000,4.6e+08,3.5e+07,295000,2020000,1.73e+08,1.3e+09,0,7.34e+08
OMM11-KB1_E1_AF_W2,0,36300000,21300000,3.09e+08,14400000,231000,0,5.5e+07,1.31e+09,0,2.06e+08
OMM11-KB1_E1_AF_W3,0,55300000,45300000,3.67e+08,22800000,257000,0,1.02e+08,1.53e+09,0,3.38e+08
OMM11-YL2_E1_AF_W1,80800000,0,9030000,1.43e+08,14900000,88300,0,56800000,3.43e+08,0,4.24e+08
OMM11-YL2_E1_AF_W2,1.46e+08,0,3130000,44500000,10700000,0,0,54300000,2.24e+08,23300,4.84e+08
OMM11-YL2_E1_AF_W3,81800000,0,3350000,38200000,14200000,0,0,63800000,2.75e+08,0,3.34e+08
OMM11-KB18_E1_AF_W1,25800000,0,4950000,1e+08,11700000,57000,0,33800000,2.14e+08,0,2.66e+08
OMM11-KB18_E1_AF_W2,23600000,0,4530000,5.2e+07,6220000,0,0,25800000,1.33e+08,0,1.63e+08
OMM11-KB18_E1_AF_W3,52300000,0,10300000,1.24e+08,16200000,69700,0,52500000,2.47e+08,0,3.78e+08
OMM11-YL27_E1_AF_W1,8.9e+07,0,0,1.04e+08,26800000,269000,0,53500000,2.86e+08,0,4.36e+08
OMM11-YL27_E1_AF_W2,58800000,0,0,8.7e+07,2.4e+07,223000,0,58300000,3.04e+08,0,4.74e+08
OMM11-YL27_E1_AF_W3,1.23e+08,0,0,55500000,17100000,129000,0,41500000,2.68e+08,0,2.48e+08
OMM11-YL31_E1_AF_W1,62800000,0,16100000,0,2.2e+07,305000,41200000,72500000,4.53e+08,0,3.5e+08
OMM11-YL31_E1_AF_W2,50800000,0,25800000,0,14800000,198000,80700000,45300000,2.74e+08,0,2.84e+08
OMM11-YL31_E1_AF_W3,23900000,0,6030000,0,12400000,52700,1540000,31800000,3.09e+08,0,1.08e+08
OMM11-YL32_E1_AF_W1,92300000,0,61300,5.45e+08,0,79300,4830000,68800000,3.22e+08,0,6.78e+08
OMM11-YL32_E1_AF_W2,54800000,0,148000,6.05e+08,0,50000,365000,66300000,3.67e+08,0,5.7e+08
OMM11-YL44_E1_AF_W1,90300000,0,658000,5.4e+08,9160000,0,10700000,5.9e+07,5.2e+08,0,4.22e+08
OMM11-YL44_E1_AF_W2,1.15e+08,0,590000,2.85e+08,6280000,0,0,3.4e+07,3.73e+08,0,2.52e+08
OMM11-YL44_E1_AF_W3,1.16e+08,0,1010000,1.88e+08,6200000,0,109000,38500000,3.9e+08,0,1.61e+08
OMM11-YL45_E1_AF_W1,4.88e+08,0,1150000,4.63e+08,12800000,70300,0,1e+08,7.43e+08,0,6.96e+08
OMM11-YL45_E1_AF_W2,2.78e+08,0,658000,2.65e+08,7340000,40300,0,57500000,4.23e+08,0,3.98e+08
OMM11-YL45_E1_AF_W3,1.45e+08,0,1280000,6.8e+07,7360000,29700,0,43300000,3.9e+08,0,1.95e+08
OMM11-I46_E1_AF_W1,1.88e+08,0,1130000,7.7e+08,12500000,195000,3080000,0,3.57e+08,0,1.09e+09
OMM11-I46_E1_AF_W2,3.38e+08,0,4050000,4.94e+08,15600000,222000,11600000,0,3.63e+08,0,1.62e+09
OMM11-I46_E1_AF_W3,2.6e+08,0,2750000,2.02e+08,11400000,154000,0,0,2.73e+08,0,1.5e+09
OMM11-I48_E1_AF_W1,2.3e+08,0,5730000,4e+08,8820000,256000,1180000,6.8e+07,0,0,1.52e+09
OMM11-I48_E1_AF_W2,4.88e+08,0,4430000,3.42e+08,1.2e+07,203000,27700000,75800000,0,0,1.46e+09
OMM11-I49_E1_AF_W1,2.14e+08,0,2050000,6.95e+08,10200000,141000,920000,77800000,3.47e+08,0,1.75e+09
OMM11-I49_E1_AF_W2,2.27e+08,0,5100000,4.78e+08,11600000,126000,3350000,82500000,3.87e+08,0,1.58e+09
OMM11-I49_E1_AF_W3,2.11e+08,0,5930000,1.81e+08,17500000,155000,0,1.07e+08,5.73e+08,0,1.64e+09
OMM11-YL58_E1_AF_W1,3.38e+08,0,19600,1.51e+08,21400000,1770000,5.9e+07,55500000,3.57e+08,0,0
OMM11-YL58_E1_AF_W2,3.23e+08,0,0,3.77e+08,16300000,537000,9620000,44800000,3.43e+08,0,0
OMM11-YL58_E1_AF_W3,45800000,0,12300,6.5e+07,5360000,158000,8720000,10400000,92700000,0,0
OMM12_E1_AF_W1,2.1e+08,0,2780000,2.71e+08,7640000,91700,0,63300000,2.42e+08,0,8.06e+08
OMM12_E1_AF_W2,4.88e+08,0,5050000,1.97e+08,16200000,106000,0,1.35e+08,4.57e+08,0,2.02e+09
OMM12_E1_AF_W3,4.2e+08,0,7350000,6.4e+07,13900000,85300,0,1.12e+08,3.6e+08,0,1.19e+09
OMM11-KB1_E2_AF_W1,0,1.96e+08,27300000,8.3e+08,14800000,907000,0,6.55e+08,1.81e+09,0,6.4e+08
OMM11-KB1_E2_AF_W2,0,1.48e+08,19400000,8.5e+08,12900000,593000,0,4.75e+08,1.99e+09,0,3.28e+08
OMM11-KB1_E2_AF_W3,0,1.22e+08,16900000,6.55e+08,12500000,264000,0,2.75e+08,1.63e+09,0,2.16e+08
OMM11-KB18_E2_AF_W1,1.62e+08,0,152000,8.3e+08,2.3e+07,787000,0,1.29e+08,4.87e+08,0,8.42e+08
OMM11-KB18_E2_AF_W2,44300000,0,77800,3.99e+08,13200000,5e+05,0,39300000,2.1e+08,0,2.36e+08
OMM11-KB18_E2_AF_W3,8.8e+07,0,618000,3.52e+08,12900000,291000,0,54800000,2.52e+08,0,3.5e+08
OMM11-YL2_E2_AF_W1,56300000,0,177000,3.18e+08,11300000,367000,0,47800000,1.91e+08,0,3.7e+08
OMM11-YL2_E2_AF_W2,5.7e+07,0,53800,2.48e+08,9520000,278000,0,37500000,1.35e+08,0,2.12e+08
OMM11-YL2_E2_AF_W3,91300000,0,1190000,3.34e+08,12700000,283000,0,44300000,2.83e+08,0,3.12e+08
