sample_id,LP,LB,AP,AT,AO
hostfit_t12_0572,0,167000,0,0,353000
hostfit_t12_0573,0,557000,0,0,471000
hostfit_t12_0574,0,334000,0,0,353000
hostfit_t12_0575,0,445000,0,0,549000
hostfit_t12_0576,0,668000,0,0,588000
hostfit_t13_0577,0,0,0,49063,0
hostfit_t13_0578,0,0,0,49063,0
hostfit_t13_0579,0,0,0,262000,0
hostfit_t13_0580,0,0,0,311000,0
hostfit_t13_0581,0,0,0,32708,0
hostfit_t13_0582,0,0,0,278000,0
hostfit_t13_0583,0,0,0,131000,0
hostfit_t13_0584,0,0,0,164000,0
hostfit_t13_0585,0,0,0,16354,0
hostfit_t13_0586,0,0,0,114000,0
hostfit_t13_0587,0,0,0,16354,0
hostfit_t13_0588,0,0,0,16354,0
hostfit_t13_0589,0,0,16354,213000,0
hostfit_t13_0590,0,0,0,572000,0
hostfit_t13_0591,0,0,0,49063,0
hostfit_t13_0592,0,0,98125,311000,0
hostfit_t13_0593,0,0,0,49063,0
hostfit_t13_0594,0,0,621000,474000,0
hostfit_t13_0596,0,0,0,32708,0
hostfit_t13_0599,0,0,0,16354,0
hostfit_t13_0601,0,0,16354,81771,0
hostfit_t13_0602,0,0,32708,32708,0
hostfit_t13_0603,0,0,16354,65417,0
hostfit_t13_0604,0,0,0,654000,0
hostfit_t13_0605,0,0,32708,654000,0
hostfit_t13_0606,0,0,0,654000,0
hostfit_t13_0607,0,0,32708,16354,0
hostfit_t13_0609,0,0,49063,32708,0
hostfit_t13_0610,0,0,278000,1140000,0
hostfit_t13_0611,0,0,32708,818000,0
hostfit_t13_0612,0,0,0,114000,0
hostfit_t13_0613,0,0,65417,981000,0
hostfit_t13_0614,0,0,16354,0,0
hostfit_t13_0615,0,0,0,245000,0
hostfit_t13_0616,0,0,65417,147000,0
hostfit_t13_0617,0,0,409000,654000,0
hostfit_t13_0618,0,0,0,16354,0
hostfit_t13_0619,0,0,0,343000,0
hostfit_t13_0620,0,0,0,491000,0
hostfit_t13_0622,0,0,0,81771,0
hostfit_t13_0624,0,0,16354,294000,0
hostfit_t14_0625,0,0,0,0,110000
hostfit_t14_0626,0,0,0,0,549000
hostfit_t14_0627,0,0,0,0,196000
hostfit_t14_0628,0,0,0,0,125000
hostfit_t14_0629,0,0,0,0,118000
hostfit_t14_0630,0,0,0,0,62737
hostfit_t14_0631,0,0,0,0,47052
hostfit_t14_0632,0,0,0,0,102000
hostfit_t14_0633,0,0,0,0,118000
hostfit_t14_0634,0,0,0,0,196000
hostfit_t14_0635,0,0,0,0,31368
hostfit_t14_0636,0,0,0,0,54894
hostfit_t14_0637,0,0,16354,0,23526
hostfit_t14_0638,0,0,0,0,94105
hostfit_t14_0639,0,0,0,0,141000
hostfit_t14_0640,0,0,49063,0,141000
hostfit_t14_0641,0,0,16354,0,196000
hostfit_t14_0643,0,0,16354,0,235000
hostfit_t14_0644,0,0,16354,0,235000
hostfit_t14_0645,0,0,0,0,62737
hostfit_t14_0646,0,0,0,0,31368
hostfit_t14_0647,0,0,49063,0,196000
hostfit_t14_0648,0,0,0,0,39210
hostfit_t14_0649,0,0,65417,0,314000
hostfit_t14_0650,0,0,16354,0,54894
