analysis_set,budget_pairs,repeat,difference,comparison,metric
schafer_phyllosphere_2022,20,8,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,9,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,10,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,11,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,12,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,13,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,14,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,15,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,16,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,17,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,18,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,19,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,20,20,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,1,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,2,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,3,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,4,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,5,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,6,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,7,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,8,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,9,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,10,0.10313427821609691,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,11,-0.020237771948578287,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,12,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,13,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,14,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,15,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,16,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,17,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,18,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,19,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,50,20,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,1,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,2,-0.013888888888888895,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,3,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,4,0.15134787974758412,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,5,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,6,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,7,0.2830099530837465,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,8,0.10702520630334769,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,9,-0.10206953632832472,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,10,-0.13574426461584668,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,11,0.033324313630201885,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,12,0.07185899242869948,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,13,0.1348692726884925,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,14,0.16044913963781793,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,15,-0.07852510056680578,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,16,0.10449085436628189,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,17,0.05547619047619046,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,18,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,19,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,100,20,0.1314951126270559,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,1,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,2,-0.13936170212765958,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,3,-0.0012389413271451932,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,4,0.3345906544435956,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,5,0.01476548433195049,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,6,-0.3317081586762813,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,7,-0.006368928173610299,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,8,0.07222609514853282,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,9,-0.1369850909324594,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,10,-0.016250050133290617,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,11,0.06078348061718081,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,12,0.060057210497257096,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,13,0.12427955326382209,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,14,0.16395688485240728,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,15,0.06988178579461479,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,16,-0.015388848422190349,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,17,-0.07272727272727264,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,18,-0.03841114956788749,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,19,0.1101587335884644,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,200,20,0.02916363564347929,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,357,1,0.07848926820048607,LENS distributed minus LENS restricted,auprc
