analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
carlstrom_phyllosphere_2019,6,100,restricted,lambda=1,3,0.2576234567901235
carlstrom_phyllosphere_2019,6,100,restricted,lambda=10,3,0.07578002244668912
carlstrom_phyllosphere_2019,6,100,distributed,lambda=0.01,3,0.2206463127515759
carlstrom_phyllosphere_2019,6,100,distributed,lambda=0.1,3,0.22512763389956372
carlstrom_phyllosphere_2019,6,100,distributed,lambda=1,3,0.18893527017096812
carlstrom_phyllosphere_2019,6,100,distributed,lambda=10,3,0.13577385296550382
carlstrom_phyllosphere_2019,6,200,restricted,lambda=0.01,3,0.20966944519594352
carlstrom_phyllosphere_2019,6,200,restricted,lambda=0.1,3,0.29248160740096224
carlstrom_phyllosphere_2019,6,200,restricted,lambda=1,3,0.2636139690909078
carlstrom_phyllosphere_2019,6,200,restricted,lambda=10,3,0.08297257486843494
carlstrom_phyllosphere_2019,6,200,distributed,lambda=0.01,3,0.2392526542466338
carlstrom_phyllosphere_2019,6,200,distributed,lambda=0.1,3,0.24528438520380305
carlstrom_phyllosphere_2019,6,200,distributed,lambda=1,3,0.19567256702284852
carlstrom_phyllosphere_2019,6,200,distributed,lambda=10,3,0.1383825622067082
carlstrom_phyllosphere_2019,6,275,restricted,lambda=0.01,3,0.10119190092780123
carlstrom_phyllosphere_2019,6,275,restricted,lambda=0.1,3,0.10000793818221794
carlstrom_phyllosphere_2019,6,275,restricted,lambda=1,3,0.07274633846266258
carlstrom_phyllosphere_2019,6,275,restricted,lambda=10,3,0.07373034349779783
carlstrom_phyllosphere_2019,6,275,distributed,lambda=0.01,3,0.3546318996091937
carlstrom_phyllosphere_2019,6,275,distributed,lambda=0.1,3,0.3659066000367555
carlstrom_phyllosphere_2019,6,275,distributed,lambda=1,3,0.3478291061389253
carlstrom_phyllosphere_2019,6,275,distributed,lambda=10,3,0.11925942669110716
carlstrom_phyllosphere_2019,7,20,distributed,lambda=0.01,2,0.175
carlstrom_phyllosphere_2019,7,20,distributed,lambda=0.1,2,0.175
carlstrom_phyllosphere_2019,7,20,distributed,lambda=1,2,0.175
carlstrom_phyllosphere_2019,7,20,distributed,lambda=10,2,0.175
carlstrom_phyllosphere_2019,7,50,restricted,lambda=0.01,3,0.2023148148148148
carlstrom_phyllosphere_2019,7,50,restricted,lambda=0.1,3,0.14743265993265994
carlstrom_phyllosphere_2019,7,50,restricted,lambda=1,3,0.1584054834054834
carlstrom_phyllosphere_2019,7,50,restricted,lambda=10,3,0.23214285714285712
carlstrom_phyllosphere_2019,7,50,distributed,lambda=0.01,3,0.20833333333333334
carlstrom_phyllosphere_2019,7,50,distributed,lambda=0.1,3,0.23611111111111108
carlstrom_phyllosphere_2019,7,50,distributed,lambda=1,3,0.3115079365079365
carlstrom_phyllosphere_2019,7,50,distributed,lambda=10,3,0.19508547008547006
carlstrom_phyllosphere_2019,7,100,restricted,lambda=0.01,3,0.16502057407036366
carlstrom_phyllosphere_2019,7,100,restricted,lambda=0.1,3,0.1411327923547304
carlstrom_phyllosphere_2019,7,100,restricted,lambda=1,3,0.12967525809244076
carlstrom_phyllosphere_2019,7,100,restricted,lambda=10,3,0.13548997434231355
carlstrom_phyllosphere_2019,7,100,distributed,lambda=0.01,3,0.16414946804908606
carlstrom_phyllosphere_2019,7,100,distributed,lambda=0.1,3,0.21397172372404571
carlstrom_phyllosphere_2019,7,100,distributed,lambda=1,3,0.23660131277391339
carlstrom_phyllosphere_2019,7,100,distributed,lambda=10,3,0.1654241533824111
carlstrom_phyllosphere_2019,7,200,restricted,lambda=0.01,3,0.2974743036917637
carlstrom_phyllosphere_2019,7,200,restricted,lambda=0.1,3,0.2669968668759224
carlstrom_phyllosphere_2019,7,200,restricted,lambda=1,3,0.21303386631694632
carlstrom_phyllosphere_2019,7,200,restricted,lambda=10,3,0.159594689047096
carlstrom_phyllosphere_2019,7,200,distributed,lambda=0.01,3,0.21857282465640374
carlstrom_phyllosphere_2019,7,200,distributed,lambda=0.1,3,0.24699974421792303
carlstrom_phyllosphere_2019,7,200,distributed,lambda=1,3,0.29125935694461375
carlstrom_phyllosphere_2019,7,200,distributed,lambda=10,3,0.1365419305881557
carlstrom_phyllosphere_2019,7,275,restricted,lambda=0.01,3,0.32565234165539664
carlstrom_phyllosphere_2019,7,275,restricted,lambda=0.1,3,0.29146300893420046
carlstrom_phyllosphere_2019,7,275,restricted,lambda=1,3,0.23471835015335277
carlstrom_phyllosphere_2019,7,275,restricted,lambda=10,3,0.14391365430916006
carlstrom_phyllosphere_2019,7,275,distributed,lambda=0.01,3,0.17759220892261585
carlstrom_phyllosphere_2019,7,275,distributed,lambda=0.1,3,0.194343950071989
carlstrom_phyllosphere_2019,7,275,distributed,lambda=1,3,0.15495970622265245
carlstrom_phyllosphere_2019,7,275,distributed,lambda=10,3,0.11317674801683215
carlstrom_phyllosphere_2019,8,10,restricted,lambda=0.01,3,0.9166666666666666
carlstrom_phyllosphere_2019,8,10,restricted,lambda=0.1,3,0.9166666666666666
carlstrom_phyllosphere_2019,8,10,restricted,lambda=1,3,0.9166666666666666
carlstrom_phyllosphere_2019,8,10,restricted,lambda=10,3,0.75
carlstrom_phyllosphere_2019,8,10,distributed,lambda=0.01,2,0.6
carlstrom_phyllosphere_2019,8,10,distributed,lambda=0.1,2,0.6
carlstrom_phyllosphere_2019,8,10,distributed,lambda=1,2,0.6
carlstrom_phyllosphere_2019,8,10,distributed,lambda=10,2,0.6
carlstrom_phyllosphere_2019,8,20,restricted,lambda=0.01,3,0.6638888888888889
carlstrom_phyllosphere_2019,8,20,restricted,lambda=0.1,3,0.6476190476190476
carlstrom_phyllosphere_2019,8,20,restricted,lambda=1,3,0.5888888888888889
carlstrom_phyllosphere_2019,8,20,restricted,lambda=10,3,0.4666666666666666
carlstrom_phyllosphere_2019,8,20,distributed,lambda=0.01,3,0.75
carlstrom_phyllosphere_2019,8,20,distributed,lambda=0.1,3,0.7222222222222222
carlstrom_phyllosphere_2019,8,20,distributed,lambda=1,3,0.7888888888888889
carlstrom_phyllosphere_2019,8,20,distributed,lambda=10,3,0.5499999999999999
carlstrom_phyllosphere_2019,8,50,restricted,lambda=0.01,3,0.2645152505446623
carlstrom_phyllosphere_2019,8,50,restricted,lambda=0.1,3,0.2348467912806148
carlstrom_phyllosphere_2019,8,50,restricted,lambda=1,3,0.20686424142306495
carlstrom_phyllosphere_2019,8,50,restricted,lambda=10,3,0.23768120496061673
carlstrom_phyllosphere_2019,8,50,distributed,lambda=0.01,3,0.3492942242942243
carlstrom_phyllosphere_2019,8,50,distributed,lambda=0.1,3,0.26153846153846155
carlstrom_phyllosphere_2019,8,50,distributed,lambda=1,3,0.2360520470814588
carlstrom_phyllosphere_2019,8,50,distributed,lambda=10,3,0.2379037833081951
carlstrom_phyllosphere_2019,8,100,restricted,lambda=0.01,3,0.28049319006491347
carlstrom_phyllosphere_2019,8,100,restricted,lambda=0.1,3,0.30115134429149054
carlstrom_phyllosphere_2019,8,100,restricted,lambda=1,3,0.34892600685079445
carlstrom_phyllosphere_2019,8,100,restricted,lambda=10,3,0.2882641874555017
carlstrom_phyllosphere_2019,8,100,distributed,lambda=0.01,3,0.3559267349000302
carlstrom_phyllosphere_2019,8,100,distributed,lambda=0.1,3,0.3661091796523555
carlstrom_phyllosphere_2019,8,100,distributed,lambda=1,3,0.29356913461001133
carlstrom_phyllosphere_2019,8,100,distributed,lambda=10,3,0.224087318549407
carlstrom_phyllosphere_2019,8,200,restricted,lambda=0.01,3,0.34706311784464333
carlstrom_phyllosphere_2019,8,200,restricted,lambda=0.1,3,0.3638353076495817
carlstrom_phyllosphere_2019,8,200,restricted,lambda=1,3,0.315220581843537
carlstrom_phyllosphere_2019,8,200,restricted,lambda=10,3,0.21196090240798646
carlstrom_phyllosphere_2019,8,200,distributed,lambda=0.01,3,0.3088961881139989
carlstrom_phyllosphere_2019,8,200,distributed,lambda=0.1,3,0.33470659411250203
carlstrom_phyllosphere_2019,8,200,distributed,lambda=1,3,0.34374759351681045
carlstrom_phyllosphere_2019,8,200,distributed,lambda=10,3,0.2509171946684074
carlstrom_phyllosphere_2019,8,275,restricted,lambda=0.01,3,0.264241924328016
carlstrom_phyllosphere_2019,8,275,restricted,lambda=0.1,3,0.24106965231780733
carlstrom_phyllosphere_2019,8,275,restricted,lambda=1,3,0.22137468776007632
carlstrom_phyllosphere_2019,8,275,restricted,lambda=10,3,0.20107580884437345
carlstrom_phyllosphere_2019,8,275,distributed,lambda=0.01,3,0.38092937025501405
