analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered,panel,budget
butyrate_assembly_2021,17,ok,28,22,6,13,OneNet,0.827038257530248,0.515151515151515,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,17,ok,28,22,6,13,LENS restricted,0.759582481620273,0.477272727272727,TRUE,lambda=10,11,2,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,17,ok,28,22,6,13,LENS distributed,0.857688029271275,0.568181818181818,FALSE,lambda=0.01,9,4,0.6,0.464285714285714,Butyrate (17/20 partitions),13
butyrate_assembly_2021,18,ok,16,11,5,5,OneNet,0.741279553779554,0.445454545454546,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,18,ok,16,11,5,5,LENS restricted,0.810288196651833,0.618181818181818,TRUE,lambda=0.01,5,0,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,18,ok,16,11,5,5,LENS distributed,0.810288196651833,0.618181818181818,TRUE,lambda=0.01,4,1,0.5,0.1875,Butyrate (17/20 partitions),5
butyrate_assembly_2021,18,ok,16,11,5,10,OneNet,0.741279553779554,0.445454545454546,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,18,ok,16,11,5,10,LENS restricted,0.810288196651833,0.618181818181818,TRUE,lambda=0.01,9,1,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,18,ok,16,11,5,10,LENS distributed,0.810288196651833,0.618181818181818,TRUE,lambda=0.01,9,1,0.6,0.5,Butyrate (17/20 partitions),10
butyrate_assembly_2021,18,ok,16,11,5,13,OneNet,0.741279553779554,0.445454545454546,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,18,ok,16,11,5,13,LENS restricted,0.709641116459298,0.418181818181818,FALSE,lambda=10,10,3,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,18,ok,16,11,5,13,LENS distributed,0.810288196651833,0.618181818181818,TRUE,lambda=0.01,12,1,0.6,0.5,Butyrate (17/20 partitions),13
butyrate_assembly_2021,20,ok,13,5,8,5,OneNet,0.639285714285714,0.7375,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,20,ok,13,5,8,5,LENS restricted,0.419047619047619,0.525,TRUE,lambda=0.01,4,1,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,20,ok,13,5,8,5,LENS distributed,0.419047619047619,0.525,TRUE,lambda=0.01,4,1,0.2,0.0769230769230769,Butyrate (17/20 partitions),5
butyrate_assembly_2021,20,ok,13,5,8,10,OneNet,0.639285714285714,0.7375,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,20,ok,13,5,8,10,LENS restricted,0.347478632478633,0.35,FALSE,lambda=10,7,3,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,20,ok,13,5,8,10,LENS distributed,0.492222222222222,0.575,FALSE,lambda=1,6,4,0.3,0.153846153846154,Butyrate (17/20 partitions),10
butyrate_assembly_2021,20,ok,13,5,8,13,OneNet,0.639285714285714,0.7375,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,20,ok,13,5,8,13,LENS restricted,0.353888888888889,0.375,FALSE,lambda=10,10,3,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,20,ok,13,5,8,13,LENS distributed,0.427222222222222,0.475,FALSE,lambda=1,9,4,0.4,0.307692307692308,Butyrate (17/20 partitions),13
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,OneNet,0.159171557313118,0.523395117540687,,"",,,,,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,LENS restricted,0.155020563450115,0.458408679927667,TRUE,lambda=0.01,0,5,0,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,1,ok,186,28,158,5,LENS distributed,0.155020563450115,0.458408679927667,TRUE,lambda=0.01,0,5,0.227272727272727,0.053763440860215,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,OneNet,0.159171557313118,0.523395117540687,,"",,,,,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,LENS restricted,0.155020563450115,0.458408679927667,TRUE,lambda=0.01,0,10,0,0,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,1,ok,186,28,158,10,LENS distributed,0.155020563450115,0.458408679927667,TRUE,lambda=0.01,0,10,0.272727272727273,0.0806451612903225,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,OneNet,0.159171557313118,0.523395117540687,,"",,,,,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,LENS restricted,0.155020563450115,0.458408679927667,TRUE,lambda=0.01,1,19,0,0,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,1,ok,186,28,158,20,LENS distributed,0.155020563450115,0.458408679927667,TRUE,lambda=0.01,0,20,0.363636363636364,0.145161290322581,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,OneNet,0.159171557313118,0.523395117540687,,"",,,,,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,LENS restricted,0.141996943310007,0.402350813743219,FALSE,lambda=10,3,47,0,0,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,1,ok,186,28,158,50,LENS distributed,0.204616005275354,0.493444846292948,FALSE,lambda=10,5,45,0.727272727272727,0.591397849462366,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,OneNet,0.159171557313118,0.523395117540687,,"",,,,,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,LENS restricted,0.178803070589053,0.431509945750452,FALSE,lambda=1,11,89,0,0,Carlström (20/20 partitions),100
