analysis_set,budget_pairs,comparison,metric,partitions,mean_difference,sd_difference,median_difference,win_fraction,tie_fraction
schafer_phyllosphere_2022,20,LENS distributed minus LENS restricted,auprc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,20,LENS distributed minus LENS restricted,auroc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,20,LENS distributed minus OneNet,auprc,20,0.08308873176749673,0.1571517859842101,0.1154999105068977,0.8,0.0
schafer_phyllosphere_2022,20,LENS distributed minus OneNet,auroc,20,0.06963907405746068,0.10622207591533099,0.05882107228856459,0.8,0.0
schafer_phyllosphere_2022,20,LENS restricted minus Fixed mean,auprc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,20,LENS restricted minus Fixed mean,auroc,20,0.0,0.0,0.0,0.0,1.0
schafer_phyllosphere_2022,20,LENS restricted minus OneNet,auprc,20,0.08308873176749673,0.1571517859842101,0.1154999105068977,0.8,0.0
schafer_phyllosphere_2022,20,LENS restricted minus OneNet,auroc,20,0.06963907405746068,0.10622207591533099,0.05882107228856459,0.8,0.0
schafer_phyllosphere_2022,50,LENS distributed minus Fixed mean,auprc,20,0.006061616964557005,0.027108375172630792,0.0,0.05,0.95
schafer_phyllosphere_2022,50,LENS distributed minus Fixed mean,auroc,20,-0.0012893081761006287,0.005765961451414551,0.0,0.0,0.95
schafer_phyllosphere_2022,50,LENS distributed minus LENS restricted,auprc,20,0.0041448253133759315,0.023733892287335367,0.0,0.05,0.9
schafer_phyllosphere_2022,50,LENS distributed minus LENS restricted,auroc,20,-0.00012127319336943665,0.0014621706938729568,0.0,0.05,0.9
schafer_phyllosphere_2022,50,LENS distributed minus OneNet,auprc,20,0.08915034873205374,0.15808447457246053,0.1353700371326875,0.8,0.0
schafer_phyllosphere_2022,50,LENS distributed minus OneNet,auroc,20,0.06834976588136005,0.10604273850593675,0.05882107228856459,0.8,0.0
schafer_phyllosphere_2022,50,LENS restricted minus Fixed mean,auprc,20,0.001916791651181074,0.005909962255814581,0.0,0.1,0.9
schafer_phyllosphere_2022,50,LENS restricted minus Fixed mean,auroc,20,-0.001168034982731192,0.006651997354204619,0.0,0.05,0.9
schafer_phyllosphere_2022,50,LENS restricted minus OneNet,auprc,20,0.08500552341867781,0.15671274223943749,0.1154999105068977,0.8,0.0
schafer_phyllosphere_2022,50,LENS restricted minus OneNet,auroc,20,0.06847103907472948,0.10622914332280868,0.05882107228856459,0.8,0.0
schafer_phyllosphere_2022,100,LENS distributed minus Fixed mean,auprc,20,0.01570628051364899,0.09032945884509505,0.0,0.25,0.55
schafer_phyllosphere_2022,100,LENS distributed minus Fixed mean,auroc,20,-0.006307041066687907,0.027370833581402187,0.0,0.15,0.55
schafer_phyllosphere_2022,100,LENS distributed minus LENS restricted,auprc,20,0.045155956229477615,0.10009799736348057,0.016662156815100942,0.5,0.3
schafer_phyllosphere_2022,100,LENS distributed minus LENS restricted,auroc,20,0.022263225839163032,0.08996972533329577,0.0,0.4,0.35
schafer_phyllosphere_2022,100,LENS distributed minus OneNet,auprc,20,0.09879501228114572,0.19932648267374015,0.11322454366428536,0.85,0.0
schafer_phyllosphere_2022,100,LENS distributed minus OneNet,auroc,20,0.06333203299077277,0.10996731710938437,0.05095754341443992,0.7,0.0
schafer_phyllosphere_2022,100,LENS restricted minus Fixed mean,auprc,20,-0.029449675715828627,0.11086617885840273,0.0,0.15,0.45
schafer_phyllosphere_2022,100,LENS restricted minus Fixed mean,auroc,20,-0.02857026690585094,0.08562372673246042,0.0,0.1,0.45
schafer_phyllosphere_2022,100,LENS restricted minus OneNet,auprc,20,0.0536390560516681,0.20651683295224407,0.09811072446249129,0.7,0.0
schafer_phyllosphere_2022,100,LENS restricted minus OneNet,auroc,20,0.04106880715160974,0.1441872470006625,0.04737696514012296,0.65,0.0
schafer_phyllosphere_2022,200,LENS distributed minus Fixed mean,auprc,20,-0.01508077100000515,0.13337029931516736,0.0075964057871953095,0.5,0.1
schafer_phyllosphere_2022,200,LENS distributed minus Fixed mean,auroc,20,-0.06473694729545776,0.13477540713055017,-0.01379993258048201,0.2,0.1
schafer_phyllosphere_2022,200,LENS distributed minus LENS restricted,auprc,20,0.01407116880467539,0.13307058427350382,0.007382742165975245,0.5,0.05
schafer_phyllosphere_2022,200,LENS distributed minus LENS restricted,auroc,20,-0.02756633162625171,0.1370926483463844,-0.0003869969040248278,0.4,0.1
schafer_phyllosphere_2022,200,LENS distributed minus OneNet,auprc,20,0.06800796076749158,0.21876759700393458,0.11456547216718273,0.75,0.0
