analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,17,13,restricted,lambda=0.1,2,0.8125396825396825
butyrate_assembly_2021,17,13,restricted,lambda=1,2,0.8125396825396825
butyrate_assembly_2021,17,13,restricted,lambda=10,2,0.8125396825396825
butyrate_assembly_2021,17,13,distributed,lambda=0.01,3,0.9074074074074074
butyrate_assembly_2021,17,13,distributed,lambda=0.1,3,0.8703703703703703
butyrate_assembly_2021,17,13,distributed,lambda=1,3,0.8703703703703703
butyrate_assembly_2021,17,13,distributed,lambda=10,3,0.8148148148148149
butyrate_assembly_2021,18,13,restricted,lambda=0.01,3,0.8374999999999999
butyrate_assembly_2021,18,13,restricted,lambda=0.1,3,0.8374999999999999
butyrate_assembly_2021,18,13,restricted,lambda=1,3,0.8374999999999999
butyrate_assembly_2021,18,13,restricted,lambda=10,3,0.8374999999999999
butyrate_assembly_2021,20,10,restricted,lambda=0.01,3,0.7777777777777777
butyrate_assembly_2021,20,10,restricted,lambda=0.1,3,0.7777777777777777
butyrate_assembly_2021,20,10,restricted,lambda=1,3,0.7777777777777777
butyrate_assembly_2021,20,10,restricted,lambda=10,3,0.7777777777777777
butyrate_assembly_2021,20,10,distributed,lambda=0.01,3,0.8888888888888888
butyrate_assembly_2021,20,10,distributed,lambda=0.1,3,0.8888888888888888
butyrate_assembly_2021,20,10,distributed,lambda=1,3,0.8888888888888888
butyrate_assembly_2021,20,10,distributed,lambda=10,3,0.8333333333333334
butyrate_assembly_2021,20,13,restricted,lambda=0.01,3,0.7078703703703703
butyrate_assembly_2021,20,13,restricted,lambda=0.1,3,0.7078703703703703
butyrate_assembly_2021,20,13,restricted,lambda=1,3,0.7078703703703703
butyrate_assembly_2021,20,13,restricted,lambda=10,3,0.7078703703703703
butyrate_assembly_2021,20,13,distributed,lambda=0.01,3,0.8722222222222221
butyrate_assembly_2021,20,13,distributed,lambda=0.1,3,0.8722222222222221
butyrate_assembly_2021,20,13,distributed,lambda=1,3,0.8722222222222221
butyrate_assembly_2021,20,13,distributed,lambda=10,3,0.8351851851851851
