analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
schafer_phyllosphere_2022,2,1,50,50,1,49,305,7,lambda=0.01,0.13899987306741313,0.1548338534075778,-0.01583398034016467,0.9132310642377756,0.8883029721955897
schafer_phyllosphere_2022,2,1,100,100,2,98,305,7,lambda=10,0.13899987306741313,0.1548338534075778,-0.01583398034016467,0.9132310642377756,0.8883029721955897
schafer_phyllosphere_2022,2,1,200,200,5,195,305,7,lambda=10,0.12415432222089473,0.1548338534075778,-0.030679531186683068,0.8887823585810163,0.8883029721955897
schafer_phyllosphere_2022,2,1,500,500,17,483,305,7,lambda=10,0.16816006375946552,0.1548338534075778,0.013326210351887718,0.9256951102588686,0.8883029721955897
schafer_phyllosphere_2022,2,1,1000,1000,26,974,305,7,lambda=0.1,0.3359414205933946,0.1548338534075778,0.1811075671858168,0.9482262703739214,0.8883029721955897
schafer_phyllosphere_2022,2,1,maximum,1219,31,1188,305,7,lambda=0.01,0.34934341110449485,0.1548338534075778,0.19450955769691705,0.9511025886864812,0.8883029721955897
schafer_phyllosphere_2022,2,2,10,10,1,9,305,8,lambda=0.01,0.21786893559924714,0.15286006938967467,0.06500886620957247,0.8602693602693603,0.8465909090909091
schafer_phyllosphere_2022,2,2,20,20,1,19,305,8,lambda=0.01,0.21786893559924714,0.15286006938967467,0.06500886620957247,0.8602693602693603,0.8465909090909091
schafer_phyllosphere_2022,2,2,50,50,1,49,305,8,lambda=0.01,0.21786893559924714,0.15286006938967467,0.06500886620957247,0.8602693602693603,0.8465909090909091
schafer_phyllosphere_2022,2,2,100,100,1,99,305,8,lambda=0.01,0.21786893559924714,0.15286006938967467,0.06500886620957247,0.8602693602693603,0.8465909090909091
schafer_phyllosphere_2022,2,2,200,200,4,196,305,8,lambda=10,0.2559212554565336,0.15286006938967467,0.10306118606685893,0.8943602693602694,0.8465909090909091
schafer_phyllosphere_2022,2,2,500,500,13,487,305,8,lambda=0.01,0.25625661448790044,0.15286006938967467,0.10339654509822577,0.8800505050505051,0.8465909090909091
