analysis_set,fold,budget_fraction,family,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,4,0.8,ranking,C=1,3,0.8833382614476623
butyrate_assembly_2021,4,0.8,boosting,depth=1_l2=1,3,0.8919789396058105
butyrate_assembly_2021,4,0.8,boosting,depth=2_l2=1,3,0.8613946457842788
butyrate_assembly_2021,5,0.2,logistic,l2_C=0.01,3,0.7456349206349205
butyrate_assembly_2021,5,0.2,logistic,l2_C=0.1,3,0.768968253968254
butyrate_assembly_2021,5,0.2,logistic,l2_C=1,3,0.7819047619047618
butyrate_assembly_2021,5,0.2,logistic,l1_C=0.01,3,0.7619047619047619
butyrate_assembly_2021,5,0.2,logistic,l1_C=0.1,3,0.7619047619047619
butyrate_assembly_2021,5,0.2,logistic,l1_C=1,3,0.7580158730158729
butyrate_assembly_2021,5,0.2,ranking,C=0.01,3,0.768968253968254
butyrate_assembly_2021,5,0.2,ranking,C=0.1,3,0.8073015873015873
butyrate_assembly_2021,5,0.2,ranking,C=1,3,0.7898412698412698
butyrate_assembly_2021,5,0.2,boosting,depth=1_l2=1,3,0.7369047619047618
butyrate_assembly_2021,5,0.2,boosting,depth=2_l2=1,3,0.7369047619047618
butyrate_assembly_2021,5,0.4,logistic,l2_C=0.01,3,0.882331944150126
butyrate_assembly_2021,5,0.4,logistic,l2_C=0.1,3,0.8983214008214008
butyrate_assembly_2021,5,0.4,logistic,l2_C=1,3,0.893998038998039
butyrate_assembly_2021,5,0.4,logistic,l1_C=0.01,3,0.7380952380952381
butyrate_assembly_2021,5,0.4,logistic,l1_C=0.1,3,0.7843614718614718
butyrate_assembly_2021,5,0.4,logistic,l1_C=1,3,0.9057053132053131
butyrate_assembly_2021,5,0.4,ranking,C=0.01,3,0.8956229881229881
butyrate_assembly_2021,5,0.4,ranking,C=0.1,3,0.8946461871461869
butyrate_assembly_2021,5,0.4,ranking,C=1,3,0.869612517112517
butyrate_assembly_2021,5,0.4,boosting,depth=1_l2=1,3,0.9185655253837073
butyrate_assembly_2021,5,0.4,boosting,depth=2_l2=1,3,0.9075494875494877
butyrate_assembly_2021,5,0.6,logistic,l2_C=0.01,3,0.9005943971939843
butyrate_assembly_2021,5,0.6,logistic,l2_C=0.1,3,0.9157627830641246
butyrate_assembly_2021,5,0.6,logistic,l2_C=1,3,0.926225825831089
butyrate_assembly_2021,5,0.6,logistic,l1_C=0.01,3,0.7142857142857143
butyrate_assembly_2021,5,0.6,logistic,l1_C=0.1,3,0.808236331569665
butyrate_assembly_2021,5,0.6,logistic,l1_C=1,3,0.9170080888037543
butyrate_assembly_2021,5,0.6,ranking,C=0.01,3,0.9201075124088539
butyrate_assembly_2021,5,0.6,ranking,C=0.1,3,0.9276910272962905
butyrate_assembly_2021,5,0.6,ranking,C=1,3,0.9222859295846911
butyrate_assembly_2021,5,0.6,boosting,depth=1_l2=1,3,0.894542257039677
butyrate_assembly_2021,5,0.6,boosting,depth=2_l2=1,3,0.8961195306241745
butyrate_assembly_2021,5,0.8,logistic,l2_C=0.01,3,0.8341087534887895
butyrate_assembly_2021,5,0.8,logistic,l2_C=0.1,3,0.8574828061567249
butyrate_assembly_2021,5,0.8,logistic,l2_C=1,3,0.8768041155322363
butyrate_assembly_2021,5,0.8,logistic,l1_C=0.01,3,0.7261904761904763
butyrate_assembly_2021,5,0.8,logistic,l1_C=0.1,3,0.7695594083373805
butyrate_assembly_2021,5,0.8,logistic,l1_C=1,3,0.8844035937597289
butyrate_assembly_2021,5,0.8,ranking,C=0.01,3,0.8719581315771304
butyrate_assembly_2021,5,0.8,ranking,C=0.1,3,0.8879753415609185
butyrate_assembly_2021,5,0.8,ranking,C=1,3,0.8807533447027628
butyrate_assembly_2021,5,0.8,boosting,depth=1_l2=1,3,0.8996899693061974
butyrate_assembly_2021,5,0.8,boosting,depth=2_l2=1,3,0.8665242449199586
carlstrom_phyllosphere_2019,1,0.2,logistic,l2_C=0.01,3,0.3360967711159008
carlstrom_phyllosphere_2019,1,0.2,logistic,l2_C=0.1,3,0.3551451279903111
carlstrom_phyllosphere_2019,1,0.2,logistic,l2_C=1,3,0.3434401849404669
carlstrom_phyllosphere_2019,1,0.2,logistic,l1_C=0.01,3,0.15151515151515152
carlstrom_phyllosphere_2019,1,0.2,logistic,l1_C=0.1,3,0.3213323201695265
carlstrom_phyllosphere_2019,1,0.2,logistic,l1_C=1,3,0.3465443179985505
carlstrom_phyllosphere_2019,1,0.2,ranking,C=0.01,3,0.33538952410515677
carlstrom_phyllosphere_2019,1,0.2,ranking,C=0.1,3,0.3303727474730582
carlstrom_phyllosphere_2019,1,0.2,ranking,C=1,3,0.35453178984054223
carlstrom_phyllosphere_2019,1,0.2,boosting,depth=1_l2=1,3,0.2758165762478913
carlstrom_phyllosphere_2019,1,0.2,boosting,depth=2_l2=1,3,0.25478716039564403
carlstrom_phyllosphere_2019,1,0.4,logistic,l2_C=0.01,3,0.2722959003021621
