analysis_set,design,taxon_fraction,repeat,selected_taxa,calibration_pairs,calibration_outcomes,calibration_positives,test_pairs,test_outcomes,test_positives,test_prevalence,model_fitted,supervised_auprc,mean_rank_auprc,supervised_minus_mean_rank,plnnetwork_auprc,poisson_glmnet_auprc,sparcc_auprc
butyrate_assembly_2021,distributed_pairs,0.2,65,5,3,3,2,101,101,74,0.7326732673267327,True,0.6906030340781651,0.7672173881043406,-0.07661435402617545,0.8026585594290273,0.6808886478228775,0.8325712362510257
butyrate_assembly_2021,taxon_panel,0.2,67,5,3,3,2,68,68,50,0.7352941176470589,True,0.7237931033803651,0.7478286350019562,-0.02403553162159111,0.7682097168897644,0.6576503156087787,0.8257963343354143
butyrate_assembly_2021,distributed_pairs,0.2,67,5,3,3,2,101,101,74,0.7326732673267327,True,0.6975261833020836,0.743709822131027,-0.046183638828943385,0.7896809588392747,0.6761965257719988,0.8167486666348351
butyrate_assembly_2021,taxon_panel,0.2,69,5,4,4,4,66,66,46,0.696969696969697,False,0.696969696969697,0.7081743560882537,-0.011204659118556726,0.7612110775085281,0.6469597210284865,0.780352324795429
butyrate_assembly_2021,distributed_pairs,0.2,69,5,4,4,4,100,100,72,0.72,False,0.72,0.7384183139173672,-0.018418313917367257,0.7854129107232501,0.669886626925307,0.8105512870720586
butyrate_assembly_2021,taxon_panel,0.2,70,5,3,3,3,67,67,49,0.7313432835820896,False,0.7313432835820896,0.7378504150166512,-0.006507131434561608,0.7844635715661694,0.6636153823577673,0.8098958624765288
butyrate_assembly_2021,distributed_pairs,0.2,70,5,3,3,2,101,101,74,0.7326732673267327,True,0.6918613961426485,0.7435545769466665,-0.05169318080401797,0.7878916625413822,0.6776707521867056,0.8130388704147257
butyrate_assembly_2021,taxon_panel,0.2,73,5,3,3,2,67,67,47,0.7014925373134329,True,0.6450601455746302,0.7211396758211216,-0.07607953024649139,0.8034038084278077,0.6590468251262881,0.7908225201368559
butyrate_assembly_2021,distributed_pairs,0.2,73,5,3,3,2,101,101,74,0.7326732673267327,True,0.8114215050341567,0.7520190030847493,0.05940250194940733,0.7866152544309163,0.6974344598917566,0.8137630701227007
butyrate_assembly_2021,taxon_panel,0.2,75,5,5,5,2,55,55,45,0.8181818181818182,True,0.8332643475681065,0.8445382029068291,-0.011273855338722605,0.8354493671404399,0.8342868621294579,0.8920241746096748
butyrate_assembly_2021,distributed_pairs,0.2,75,5,5,5,1,99,99,75,0.7575757575757576,True,0.7632798747024021,0.7684784670364142,-0.005198592334012098,0.8047022890289877,0.7331726851875005,0.8326326126769135
butyrate_assembly_2021,taxon_panel,0.2,77,5,6,6,5,53,53,37,0.6981132075471698,True,0.7796075458599154,0.7298697862740378,0.04973775958587767,0.7669861575615791,0.6634648991896679,0.7829954617012591
butyrate_assembly_2021,distributed_pairs,0.2,77,5,6,6,4,98,98,72,0.7346938775510204,True,0.6932421350697123,0.7576796100710856,-0.06443747500137331,0.7974719443847778,0.6907475700397718,0.8211032774420561
butyrate_assembly_2021,taxon_panel,0.2,78,5,4,4,3,65,65,46,0.7076923076923077,True,0.7376116163367212,0.7621449844176934,-0.024533368080972173,0.8003563129384537,0.6827193523701223,0.8134947852435253
butyrate_assembly_2021,distributed_pairs,0.2,78,5,4,4,1,100,100,75,0.75,True,0.8329812663134686,0.7630645073974855,0.06991675891598303,0.798041449805436,0.7238244644005514,0.8193433670412265
butyrate_assembly_2021,taxon_panel,0.2,79,5,3,3,3,69,69,50,0.7246376811594203,False,0.7246376811594203,0.7335704990653698,-0.008932817905949464,0.7615436086795788,0.6731379517928664,0.7893251117122801
butyrate_assembly_2021,distributed_pairs,0.2,79,5,3,3,3,101,101,73,0.7227722772277227,False,0.7227722772277227,0.7292495165309467,-0.0064772393032239695,0.7723765621706931,0.6713673988531355,0.8003044854065924
butyrate_assembly_2021,taxon_panel,0.2,80,5,3,3,3,68,68,45,0.6617647058823529,False,0.6617647058823529,0.6774468656400804,-0.015682159757727465,0.7118922636498645,0.5975709334255648,0.7590524449350866
butyrate_assembly_2021,distributed_pairs,0.2,80,5,3,3,2,101,101,74,0.7326732673267327,True,0.8156356596195645,0.7385859188543193,0.07704974076524518,0.782176294580971,0.6776707521867056,0.8083096755698159
butyrate_assembly_2021,taxon_panel,0.2,81,5,4,4,2,67,67,52,0.7761194029850746,True,0.7343891293282395,0.8090847152201985,-0.07469558589195902,0.8694725235355688,0.7274360804601965,0.8435836739872351
butyrate_assembly_2021,distributed_pairs,0.2,81,5,4,4,2,100,100,74,0.74,True,0.6746996063515023,0.7703564698509447,-0.09565686349944247,0.8020000101904995,0.6972913603226985,0.8363836573051628
