repeat,fold,training_positives,training_neutrals,single_class_training,inner_tuning_available,selected_setting,nonzero_coefficients,coefficient_l1_norm,intercept,prediction_min,prediction_max,prediction_sd,unique_predictions,test_pairs,test_positives,positive_frequency,supervised_auprc,onenet_auprc,mean_three_scores_auprc,three_scores_auprc,three_scores_plus_joint_prevalence_auprc,fixed_mean_score_auprc,adaptive_simple_auprc
16,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.1203438288602677,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.35608457458269727,0.35608457458269727
16,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.3119362928737929,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.27102021541676713,0.27102021541676713
16,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.27450404085079005,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.19509398496240601,0.19509398496240601
16,5,2,8,False,True,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.12092670920086335,0.23049678065206014,0.21978822475240906,0.0609794532856498,0.23049678065206014,0.23049678065206014
17,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.25637494063644184,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.41496915782630067,0.41496915782630067
17,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.21997774916418178,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.31061507936507937,0.31061507936507937
17,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.16337666931395803,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.15856216230083894,0.15856216230083894
17,4,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.1187918966193846,0.21751724251724253,0.12957557948535436,0.04825359053554738,0.21751724251724253,0.21751724251724253
17,5,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.09974359050305188,0.19174848015656806,0.17947576248518265,0.04597228130949781,0.19174848015656806,0.19174848015656806
18,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.23611679461489704,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.25024929226348924,0.25024929226348924
