analysis_set,design,taxon_fraction,method,valid_repeats,mean_calibration_pairs,mean_auprc,sd_auprc,mean_auroc,sd_auroc
carlstrom_phyllosphere_2019,distributed_pairs,0.6,Mean rank,200,352.145,0.12782689472074002,0.012888634988087296,0.4744819979990126,0.020665533426206906
carlstrom_phyllosphere_2019,distributed_pairs,0.6,PLNNetwork,200,352.145,0.12415764185293009,0.008001793558858463,0.5,0.0
carlstrom_phyllosphere_2019,distributed_pairs,0.6,Poisson GLMNet,200,352.145,0.14413621085929004,0.013294379967907489,0.5212192251275476,0.00875214881860229
carlstrom_phyllosphere_2019,distributed_pairs,0.6,SPIEC-EASI,200,352.145,0.13487880196938445,0.010344233925333868,0.5038996196344637,0.0056724696041299235
carlstrom_phyllosphere_2019,distributed_pairs,0.6,SparCC,200,352.145,0.11860493577199295,0.01150613447786458,0.4533927143782971,0.020002321498349157
carlstrom_phyllosphere_2019,taxon_panel,0.2,Mean rank,200,36.4,0.1282729118587889,0.022114589158908404,0.47507310408087955,0.02660036374431002
carlstrom_phyllosphere_2019,taxon_panel,0.2,PLNNetwork,200,36.4,0.12314839263253452,0.01935733894486503,0.5,0.0
carlstrom_phyllosphere_2019,taxon_panel,0.2,Poisson GLMNet,200,36.4,0.14620002929238507,0.021417211435771372,0.5211627949406094,0.015205335682525618
carlstrom_phyllosphere_2019,taxon_panel,0.2,SPIEC-EASI,200,36.4,0.13392141709885494,0.02017185643107098,0.5031181876243584,0.00511374784515188
carlstrom_phyllosphere_2019,taxon_panel,0.2,SparCC,200,36.4,0.1184413628491202,0.01894540289233782,0.45414824144762134,0.020950510479619825
carlstrom_phyllosphere_2019,taxon_panel,0.4,Mean rank,200,151.795,0.1364945158627409,0.03470850036687786,0.4772091957445347,0.04130055348086126
carlstrom_phyllosphere_2019,taxon_panel,0.4,PLNNetwork,200,151.795,0.12552819284187441,0.02824004532156134,0.5,0.0
carlstrom_phyllosphere_2019,taxon_panel,0.4,Poisson GLMNet,200,151.795,0.15385678970215808,0.03584714009812979,0.5240754602764103,0.02170544311472492
carlstrom_phyllosphere_2019,taxon_panel,0.4,SPIEC-EASI,200,151.795,0.14072167892836743,0.03143496512135225,0.5051000775137715,0.010095913111324739
carlstrom_phyllosphere_2019,taxon_panel,0.4,SparCC,200,151.795,0.12454689225134591,0.02955688666498291,0.4535807569135727,0.036795836208135396
carlstrom_phyllosphere_2019,taxon_panel,0.6,Mean rank,200,352.145,0.14121886941541897,0.06238167109133181,0.4642764063554696,0.08101631142571289
carlstrom_phyllosphere_2019,taxon_panel,0.6,PLNNetwork,200,352.145,0.12192913118409004,0.042767966379078745,0.5,0.0
carlstrom_phyllosphere_2019,taxon_panel,0.6,Poisson GLMNet,200,352.145,0.15178364013543694,0.05968476650604854,0.516527101014804,0.037912016039591274
carlstrom_phyllosphere_2019,taxon_panel,0.6,SPIEC-EASI,200,352.145,0.13773045893548172,0.047922834143649444,0.502219180718055,0.01724316441900414
carlstrom_phyllosphere_2019,taxon_panel,0.6,SparCC,200,352.145,0.12949687628695708,0.04898710227418653,0.4479270951829955,0.07426311534041406
friedman_microcosm_2017,distributed_pairs,0.2,Mean rank,200,6.0,0.6234286680287784,0.03362492625927899,0.5391403852806489,0.024818143677051832
friedman_microcosm_2017,distributed_pairs,0.2,PLNNetwork,200,6.0,0.6206013376461044,0.03285440757891792,0.5111386953690187,0.028565823329243713
friedman_microcosm_2017,distributed_pairs,0.2,Poisson GLMNet,200,6.0,0.6017928390743505,0.03456042321559422,0.48089836977354344,0.03812233769896101
