analysis_set,design,taxon_fraction,feature_set,valid_repeats,mean_calibration_pairs,model_fit_rate,mean_auprc,sd_auprc,mean_auroc,sd_auroc,mean_f1,sd_f1,score_only_auprc,change_from_scores
carlstrom_phyllosphere_2019,taxon_panel,0.2,selected_unsupervised,200,36.4,0.9,0.1301821285890969,0.02013965848262186,0.48459872644066776,0.0363024688827582,0.1382552486793811,0.07482883134172458,0.13727795334191734,-0.0070958247528204454
carlstrom_phyllosphere_2019,taxon_panel,0.4,combined,200,151.795,1.0,0.1902865698631876,0.05636190318416863,0.597071568869204,0.07073960060295982,0.18320973915997424,0.08180933504265576,0.15462572958818815,0.03566084027499944
carlstrom_phyllosphere_2019,taxon_panel,0.4,direct_abundance,200,151.795,1.0,0.19006390569106635,0.05390774670567913,0.5995340364789897,0.07605363518378078,0.19147628596034036,0.08618627863796417,0.15462572958818815,0.035438176102878194
carlstrom_phyllosphere_2019,taxon_panel,0.4,network_scores,200,151.795,1.0,0.15462572958818815,0.04494695603537082,0.5153456527752084,0.056793729735543606,0.16300653304492865,0.06702343202988577,0.15462572958818815,0.0
carlstrom_phyllosphere_2019,taxon_panel,0.4,selected_unsupervised,200,151.795,1.0,0.1444859842082483,0.03587422329591114,0.5029622564447596,0.04361088550053576,0.17735225934532928,0.07665488055529196,0.15462572958818815,-0.010139745379939863
carlstrom_phyllosphere_2019,taxon_panel,0.6,combined,200,352.145,1.0,0.22666256054069936,0.0857141821900876,0.6451713844584203,0.0921023052410828,0.21466501463161983,0.10955667366659126,0.1714743387107824,0.05518822182991695
carlstrom_phyllosphere_2019,taxon_panel,0.6,direct_abundance,200,352.145,1.0,0.22591876353933035,0.08635747055706006,0.646965313339249,0.0930329963650933,0.2232472233622368,0.1158046553472756,0.1714743387107824,0.054444424828547944
carlstrom_phyllosphere_2019,taxon_panel,0.6,network_scores,200,352.145,1.0,0.1714743387107824,0.06770038900476988,0.5351642253243759,0.0834675777561342,0.17073934663128207,0.08039662478591589,0.1714743387107824,0.0
carlstrom_phyllosphere_2019,taxon_panel,0.6,selected_unsupervised,200,352.145,1.0,0.14293708160255755,0.05727881532264342,0.5027120159007182,0.050496200544645,0.18314388652587843,0.08400938694365509,0.1714743387107824,-0.028537257108224856
friedman_microcosm_2017,distributed_pairs,0.2,combined,200,6.0,1.0,0.5796573088295641,0.04416069085609975,0.4669068470428831,0.03934522054143255,0.6501030919957229,0.10740112695135307,0.5949118463229882,-0.015254537493424092
friedman_microcosm_2017,distributed_pairs,0.2,direct_abundance,200,6.0,1.0,0.5848139512854519,0.04633317108017778,0.4746610317477107,0.045349743453085456,0.6515034027950004,0.10853954310257598,0.5949118463229882,-0.01009789503753633
friedman_microcosm_2017,distributed_pairs,0.2,network_scores,200,6.0,1.0,0.5949118463229882,0.04496767204943351,0.4688915888814623,0.04687474337227715,0.6104160822174707,0.13290610300364616,0.5949118463229882,0.0
friedman_microcosm_2017,distributed_pairs,0.2,selected_unsupervised,200,6.0,1.0,0.6322496727748216,0.05538379583677976,0.5003141837465302,0.04205848834548543,0.6291079993569036,0.14232067622472233,0.5949118463229882,0.03733782645183337
friedman_microcosm_2017,distributed_pairs,0.4,combined,200,6.0,1.0,0.5793039565025316,0.04076968236989359,0.4687825113103375,0.039085719437235586,0.6562600837831813,0.10419720686101111,0.5933454352946396,-0.014041478792107931
friedman_microcosm_2017,distributed_pairs,0.4,direct_abundance,200,6.0,1.0,0.5840289941669625,0.04300275337826302,0.47627104125365244,0.0440379923484949,0.6570526102647725,0.0959485318211066,0.5933454352946396,-0.009316441127677044
