analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
butyrate_assembly_2021,7,1,10,10,8,2,21,16,lambda=10,0.9202847910495937,0.8465699537390714,0.07371483731052231,0.7375,0.6
butyrate_assembly_2021,7,1,20,20,14,6,21,16,lambda=0.1,0.9577042330089931,0.8465699537390714,0.1111342792699217,0.8625,0.6
butyrate_assembly_2021,7,1,50,50,38,12,21,16,lambda=1,0.9257208069708069,0.8465699537390714,0.07915085323173554,0.7875,0.6
butyrate_assembly_2021,7,1,maximum,83,60,23,21,16,lambda=0.01,0.8604275422290129,0.8465699537390714,0.013857588489941453,0.75,0.6
butyrate_assembly_2021,7,2,10,10,7,3,21,15,lambda=10,0.8219865809571691,0.6713389242336611,0.150647656723508,0.5222222222222223,0.3388888888888889
butyrate_assembly_2021,7,2,20,20,14,6,21,15,lambda=0.01,0.8973312068048909,0.6713389242336611,0.22599228257122972,0.6888888888888889,0.3388888888888889
butyrate_assembly_2021,7,2,50,50,36,14,21,15,lambda=0.01,0.8660751775457658,0.6713389242336611,0.19473625331210465,0.6444444444444444,0.3388888888888889
butyrate_assembly_2021,7,2,maximum,83,61,22,21,15,lambda=0.1,0.860493607985868,0.6713389242336611,0.1891546837522069,0.6888888888888889,0.3388888888888889
butyrate_assembly_2021,7,3,10,10,6,4,21,15,lambda=10,0.654733264098589,0.8467063492063491,-0.19197308510776012,0.3888888888888889,0.5888888888888889
butyrate_assembly_2021,7,3,20,20,15,5,21,15,lambda=1,0.7383134294899001,0.8467063492063491,-0.10839291971644904,0.5666666666666667,0.5888888888888889
butyrate_assembly_2021,7,3,50,50,37,13,21,15,lambda=0.01,0.8101850276772878,0.8467063492063491,-0.03652132152906129,0.6222222222222222,0.5888888888888889
butyrate_assembly_2021,7,3,maximum,83,61,22,21,15,lambda=1,0.7496522340175591,0.8467063492063491,-0.09705411518879004,0.5222222222222223,0.5888888888888889
butyrate_assembly_2021,7,4,10,10,6,4,21,15,lambda=1,0.8865634803792698,0.6527139721876563,0.23384950819161354,0.7444444444444445,0.18888888888888888
butyrate_assembly_2021,7,4,20,20,16,4,21,15,lambda=1,0.9005626402607826,0.6527139721876563,0.24784866807312633,0.7666666666666667,0.18888888888888888
butyrate_assembly_2021,7,4,50,50,39,11,21,15,lambda=0.01,0.9877124183006536,0.6527139721876563,0.33499844611299734,0.9666666666666668,0.18888888888888888
butyrate_assembly_2021,7,4,maximum,83,61,22,21,15,lambda=1,1.0,0.6527139721876563,0.34728602781234374,1.0,0.18888888888888888
butyrate_assembly_2021,7,5,10,10,7,3,20,15,lambda=10,0.8198644710409417,0.7321325423802203,0.08773192866072144,0.5733333333333334,0.41333333333333333
butyrate_assembly_2021,7,5,20,20,16,4,20,15,lambda=0.01,0.8843996743996744,0.7321325423802203,0.15226713201945408,0.7466666666666667,0.41333333333333333
butyrate_assembly_2021,7,5,50,50,39,11,20,15,lambda=0.1,0.7919568248515616,0.7321325423802203,0.059824282471341306,0.6266666666666667,0.41333333333333333
butyrate_assembly_2021,7,5,maximum,84,61,23,20,15,lambda=0.1,0.9004852408799776,0.7321325423802203,0.16835269849975731,0.6933333333333334,0.41333333333333333
butyrate_assembly_2021,8,1,10,10,7,3,21,16,lambda=10,0.771076479259045,0.7875690539680478,-0.016492574709002783,0.525,0.41874999999999996
butyrate_assembly_2021,8,1,20,20,13,7,21,16,lambda=1,0.7774793645681805,0.7875690539680478,-0.010089689399867319,0.5375,0.41874999999999996
butyrate_assembly_2021,8,1,50,50,35,15,21,16,lambda=1,0.7852951279349306,0.7875690539680478,-0.0022739260331171574,0.5375,0.41874999999999996
butyrate_assembly_2021,8,1,maximum,83,60,23,21,16,lambda=0.1,0.7745236077884103,0.7875690539680478,-0.013045446179637432,0.525,0.41874999999999996
butyrate_assembly_2021,8,2,10,10,7,3,21,15,lambda=10,0.76302691489224,0.5899676447277067,0.17305927016453326,0.4666666666666667,0.22222222222222218
butyrate_assembly_2021,8,2,20,20,17,3,21,15,lambda=10,0.7361416052128127,0.5899676447277067,0.146173960485106,0.48888888888888893,0.22222222222222218
butyrate_assembly_2021,8,2,50,50,39,11,21,15,lambda=1,0.817724416106769,0.5899676447277067,0.22775677137906236,0.6444444444444445,0.22222222222222218
butyrate_assembly_2021,8,2,maximum,83,61,22,21,15,lambda=0.01,0.8596577496577497,0.5899676447277067,0.269690104930043,0.8,0.22222222222222218
butyrate_assembly_2021,8,3,10,10,7,3,21,15,lambda=10,0.7629048147701398,0.7627321606268974,0.00017265414324241224,0.4555555555555556,0.6166666666666667
butyrate_assembly_2021,8,3,20,20,14,6,21,15,lambda=10,0.7993196036849287,0.7627321606268974,0.0365874430580313,0.5444444444444445,0.6166666666666667
butyrate_assembly_2021,8,3,50,50,36,14,21,15,lambda=0.1,0.8431653385600755,0.7627321606268974,0.08043317793317806,0.6888888888888889,0.6166666666666667
butyrate_assembly_2021,8,3,maximum,83,61,22,21,15,lambda=0.01,0.8665343915343915,0.7627321606268974,0.10380223090749408,0.6444444444444444,0.6166666666666667
butyrate_assembly_2021,8,4,10,10,8,2,21,15,lambda=10,0.7373058861216756,0.7105957441251558,0.026710141996519776,0.5555555555555556,0.39444444444444443
butyrate_assembly_2021,8,4,20,20,15,5,21,15,lambda=0.1,0.8698042211200105,0.7105957441251558,0.15920847699485474,0.7444444444444445,0.39444444444444443
butyrate_assembly_2021,8,4,50,50,37,13,21,15,lambda=0.1,0.9112802559783983,0.7105957441251558,0.20068451185324254,0.788888888888889,0.39444444444444443
butyrate_assembly_2021,8,4,maximum,83,61,22,21,15,lambda=1,0.8656857140680669,0.7105957441251558,0.15508996994291113,0.7333333333333334,0.39444444444444443
butyrate_assembly_2021,8,5,10,10,10,0,20,15,lambda=0.01,0.8360844985767586,0.7419592281356986,0.09412527044106,0.6133333333333333,0.38666666666666666
butyrate_assembly_2021,8,5,20,20,16,4,20,15,lambda=10,0.8360844985767586,0.7419592281356986,0.09412527044106,0.6133333333333333,0.38666666666666666
butyrate_assembly_2021,8,5,50,50,37,13,20,15,lambda=0.01,0.8990133123956653,0.7419592281356986,0.1570540842599667,0.7333333333333333,0.38666666666666666
