analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
carlstrom_phyllosphere_2019,4,4,20,20,5,15,198,24,lambda=0.1,0.08657195720219785,0.13635794409891872,-0.04978598689672087,0.3194444444444444,0.47964559386973177
carlstrom_phyllosphere_2019,4,4,50,50,11,39,198,24,lambda=0.1,0.1828408108515083,0.13635794409891872,0.046482866752589586,0.6590038314176245,0.47964559386973177
carlstrom_phyllosphere_2019,4,4,100,100,18,82,198,24,lambda=1,0.21190908117061283,0.13635794409891872,0.07555113707169411,0.5886015325670498,0.47964559386973177
carlstrom_phyllosphere_2019,4,4,200,200,29,171,198,24,lambda=0.01,0.1594090466801727,0.13635794409891872,0.02305110258125398,0.5749521072796935,0.47964559386973177
carlstrom_phyllosphere_2019,4,4,500,500,64,436,198,24,lambda=0.01,0.24186066778559145,0.13635794409891872,0.10550272368667274,0.7313218390804598,0.47964559386973177
carlstrom_phyllosphere_2019,4,4,maximum,791,99,692,198,24,lambda=0.1,0.2642148381594148,0.13635794409891872,0.1278568940604961,0.7423371647509578,0.47964559386973177
carlstrom_phyllosphere_2019,4,5,10,10,0,10,197,24,lambda=0.01,0.09401147353997134,0.11201353455395313,-0.018002061013981788,0.3588631984585742,0.460621387283237
carlstrom_phyllosphere_2019,4,5,20,20,4,16,197,24,lambda=0.1,0.12294506089148677,0.11201353455395313,0.010931526337533637,0.4682080924855491,0.460621387283237
carlstrom_phyllosphere_2019,4,5,50,50,9,41,197,24,lambda=0.1,0.20630502277228985,0.11201353455395313,0.09429148821833672,0.6105491329479769,0.460621387283237
carlstrom_phyllosphere_2019,4,5,100,100,15,85,197,24,lambda=0.01,0.23877169700426165,0.11201353455395313,0.12675816245030852,0.6991811175337187,0.460621387283237
carlstrom_phyllosphere_2019,4,5,200,200,30,170,197,24,lambda=0.1,0.2406996444286605,0.11201353455395313,0.12868610987470736,0.7345857418111753,0.460621387283237
carlstrom_phyllosphere_2019,4,5,500,500,57,443,197,24,lambda=0.1,0.29550991796662673,0.11201353455395313,0.1834963834126736,0.7372350674373795,0.460621387283237
carlstrom_phyllosphere_2019,4,5,maximum,792,99,693,197,24,lambda=0.1,0.29549534189253335,0.11201353455395313,0.18348180733858022,0.7182080924855492,0.460621387283237
carlstrom_phyllosphere_2019,5,1,10,10,0,10,198,25,lambda=0.01,0.12206144846661221,0.12917743574903093,-0.007115987282418718,0.45479768786127167,0.4684393063583815
carlstrom_phyllosphere_2019,5,1,20,20,2,18,198,25,lambda=10,0.12206144846661221,0.12917743574903093,-0.007115987282418718,0.45479768786127167,0.4684393063583815
carlstrom_phyllosphere_2019,5,1,50,50,5,45,198,25,lambda=10,0.14010431722870906,0.12917743574903093,0.01092688147967813,0.5068208092485549,0.4684393063583815
carlstrom_phyllosphere_2019,5,1,100,100,10,90,198,25,lambda=0.01,0.19785777361254803,0.12917743574903093,0.0686803378635171,0.6101734104046244,0.4684393063583815
carlstrom_phyllosphere_2019,5,1,200,200,31,169,198,25,lambda=0.01,0.2406051536302119,0.12917743574903093,0.11142771788118097,0.6453179190751445,0.4684393063583815
carlstrom_phyllosphere_2019,5,1,500,500,67,433,198,25,lambda=0.01,0.30257015888878624,0.12917743574903093,0.17339272313975532,0.6941040462427746,0.4684393063583815
carlstrom_phyllosphere_2019,5,1,maximum,791,98,693,198,25,lambda=0.01,0.30662608806339914,0.12917743574903093,0.1774486523143682,0.7028901734104046,0.4684393063583815
carlstrom_phyllosphere_2019,5,2,10,10,2,8,198,25,lambda=10,0.21430175264764437,0.15094374516013165,0.06335800748751272,0.6016184971098266,0.5593063583815029
carlstrom_phyllosphere_2019,5,2,20,20,3,17,198,25,lambda=10,0.27458013005688514,0.15094374516013165,0.12363638489675349,0.6432369942196532,0.5593063583815029
carlstrom_phyllosphere_2019,5,2,50,50,9,41,198,25,lambda=1,0.3172055826598058,0.15094374516013165,0.16626183749967416,0.7019653179190751,0.5593063583815029
carlstrom_phyllosphere_2019,5,2,100,100,15,85,198,25,lambda=10,0.25247398615419586,0.15094374516013165,0.10153024099406421,0.6443930635838151,0.5593063583815029
carlstrom_phyllosphere_2019,5,2,200,200,24,176,198,25,lambda=0.01,0.32737433310294994,0.15094374516013165,0.1764305879428183,0.7079768786127167,0.5593063583815029
carlstrom_phyllosphere_2019,5,2,500,500,61,439,198,25,lambda=0.01,0.3676588140741652,0.15094374516013165,0.21671506891403353,0.715606936416185,0.5593063583815029
carlstrom_phyllosphere_2019,5,2,maximum,791,98,693,198,25,lambda=0.1,0.27539471555764794,0.15094374516013165,0.12445097039751629,0.7169942196531791,0.5593063583815029
carlstrom_phyllosphere_2019,5,3,10,10,0,10,198,25,lambda=0.01,0.1061162527068894,0.11939353438808847,-0.013277281681199071,0.4009248554913295,0.4892485549132948
carlstrom_phyllosphere_2019,5,3,20,20,2,18,198,25,lambda=10,0.1061162527068894,0.11939353438808847,-0.013277281681199071,0.4009248554913295,0.4892485549132948
carlstrom_phyllosphere_2019,5,3,50,50,9,41,198,25,lambda=1,0.13044494373129692,0.11939353438808847,0.011051409343208446,0.49572254335260113,0.4892485549132948
carlstrom_phyllosphere_2019,5,3,100,100,15,85,198,25,lambda=0.1,0.200158688891978,0.11939353438808847,0.08076515450388952,0.5560693641618497,0.4892485549132948
carlstrom_phyllosphere_2019,5,3,200,200,30,170,198,25,lambda=0.1,0.216171774252314,0.11939353438808847,0.09677823986422551,0.6455491329479768,0.4892485549132948
