dataset,taxon_1,taxon_2,interaction_label,tested_status,conet_selected,conet_score,conet_qvalue,method_number
schafer_phyllosphere_2022,Leaf225,Leaf359,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf225,Leaf371,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf225,Leaf405,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf225,Leaf41,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf225,Leaf427,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf225,Leaf61,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf225,Leaf67,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf225,Leaf88,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf233,Leaf299,0,neutral,1.0,1.3,0.0,1.0
schafer_phyllosphere_2022,Leaf233,Leaf33,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf233,Leaf359,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf233,Leaf371,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf233,Leaf405,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf233,Leaf41,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf233,Leaf427,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf233,Leaf61,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf233,Leaf67,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf233,Leaf88,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf242,Leaf299,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf242,Leaf33,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf242,Leaf359,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf242,Leaf371,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf242,Leaf405,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf242,Leaf41,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf242,Leaf427,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf242,Leaf61,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf242,Leaf67,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf242,Leaf88,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf254,Leaf299,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf254,Leaf33,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf254,Leaf359,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf254,Leaf371,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf254,Leaf405,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf254,Leaf41,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf254,Leaf427,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf254,Leaf61,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf254,Leaf67,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf254,Leaf88,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf262,Leaf299,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf262,Leaf33,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf262,Leaf359,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf262,Leaf371,1,positive,1.0,1.3,0.0,1.0
schafer_phyllosphere_2022,Leaf262,Leaf405,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf262,Leaf41,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf262,Leaf427,0,neutral,1.0,2.3,0.0,2.0
