"taxon_1","taxon_2","onenet_score"
"Leaf122","Leaf129",0.0388888888888889
"Leaf122","Leaf13",0
"Leaf122","Leaf130",0.105555555555556
"Leaf122","Leaf131",0.15
"Leaf122","Leaf132",0.0722222222222222
"Leaf122","Leaf137",0.488888888888889
"Leaf122","Leaf141",0.0111111111111111
"Leaf122","Leaf145",0.172222222222222
"Leaf122","Leaf15",0.0222222222222222
"Leaf122","Leaf151",0.05
"Leaf122","Leaf160",0.138888888888889
"Leaf122","Leaf161",0.194444444444444
"Leaf122","Leaf164",0.0611111111111111
"Leaf122","Leaf168",0.00555555555555556
"Leaf122","Leaf17",0.0555555555555556
"Leaf122","Leaf176",0.0888888888888889
"Leaf122","Leaf177",0.0722222222222222
"Leaf122","Leaf180",0.0722222222222222
"Leaf122","Leaf182",0.127777777777778
"Leaf122","Leaf183",0
"Leaf122","Leaf185",0.0166666666666667
"Leaf122","Leaf187",0
"Leaf122","Leaf189",0.122222222222222
"Leaf122","Leaf2",0.144444444444444
"Leaf122","Leaf201",0.0444444444444444
"Leaf122","Leaf203",0.0111111111111111
"Leaf122","Leaf208",0.0611111111111111
"Leaf122","Leaf21",0.0666666666666667
"Leaf122","Leaf216",0.111111111111111
"Leaf122","Leaf220",0.0388888888888889
"Leaf122","Leaf222",0.0277777777777778
"Leaf122","Leaf225",0.288888888888889
"Leaf122","Leaf226",0.0111111111111111
"Leaf122","Leaf231",0.0833333333333333
"Leaf122","Leaf233",0.15
"Leaf122","Leaf234",0.272222222222222
"Leaf122","Leaf242",0.0944444444444444
"Leaf122","Leaf245",0.0555555555555556
"Leaf122","Leaf254",0.0555555555555556
"Leaf122","Leaf257",0.0555555555555556
"Leaf122","Leaf26",0.0333333333333333
"Leaf122","Leaf261",0.116666666666667
"Leaf122","Leaf262",0.255555555555556
"Leaf122","Leaf263",0.0388888888888889
"Leaf122","Leaf264",0.0555555555555556
"Leaf122","Leaf265",0.177777777777778
"Leaf122","Leaf267",0.0611111111111111
"Leaf122","Leaf274",0
"Leaf122","Leaf28",0.0111111111111111
"Leaf122","Leaf280",0.0444444444444444
"Leaf122","Leaf285",0.0222222222222222
"Leaf122","Leaf288",0.0666666666666667
"Leaf122","Leaf289",0.00555555555555556
"Leaf122","Leaf299",0.00555555555555556
"Leaf122","Leaf3",0.133333333333333
"Leaf122","Leaf30",0.116666666666667
"Leaf122","Leaf304",0.0944444444444444
"Leaf122","Leaf306",0.2
"Leaf122","Leaf311",0.344444444444444
"Leaf122","Leaf313",0
"Leaf122","Leaf314",0.0666666666666667
"Leaf122","Leaf32",0.166666666666667
"Leaf122","Leaf324",0.0444444444444444
"Leaf122","Leaf326",0.0444444444444444
"Leaf122","Leaf33",0.0166666666666667
"Leaf122","Leaf334",0.0777777777777778
"Leaf122","Leaf335",0.0666666666666667
"Leaf122","Leaf336",0.0111111111111111
"Leaf122","Leaf337",0.211111111111111
"Leaf122","Leaf339",0.111111111111111
"Leaf122","Leaf34",0.0388888888888889
"Leaf122","Leaf343",0.183333333333333
"Leaf122","Leaf344",0.0611111111111111
"Leaf122","Leaf351",0.0277777777777778
"Leaf122","Leaf354",0.0388888888888889
"Leaf122","Leaf357",0.0555555555555556
